"Subject","Group","Condition","Trial","VideoName","P_V","M_V","ClozeScore","zClozeScore","cClozeScore","PathPrimeV","MannerPrimeV"
"4","L2","Baseline",16,"trt_pourue",0,0,5,-2.41163786265693,-19.4915254237288,"cruza","tira de"
"4","L2","Baseline",17,"pre_pnegro",0,0,5,-2.41163786265693,-19.4915254237288,"entra en","rueda"
"4","L2","Baseline",18,"trd_bronei",0,0,5,-2.41163786265693,-19.4915254237288,"baja","tira de"
"4","L2","Baseline",19,"pgt_panrou",0,0,5,-2.41163786265693,-19.4915254237288,"cruza","empuja"
"4","L2","Baseline",20,"prm_boudun",0,0,5,-2.41163786265693,-19.4915254237288,"sube","rueda"
"4","L2","Baseline",21,"pge_tabgro",0,0,5,-2.41163786265693,-19.4915254237288,"entra en","empuja"
"4","L2","Baseline",22,"trm_voidun",0,0,5,-2.41163786265693,-19.4915254237288,"sube","tira de"
"4","L2","Baseline",23,"tgt_cherue",0,0,5,-2.41163786265693,-19.4915254237288,"cruza","arrastra"
"4","L2","Baseline",24,"tre_cadmai",0,0,5,-2.41163786265693,-19.4915254237288,"entra en","tira de"
"4","L2","Baseline",25,"prt_rourou",0,0,5,-2.41163786265693,-19.4915254237288,"cruza","rueda"
"4","L2","Baseline",26,"pgd_valnei",1,0,5,-2.41163786265693,-19.4915254237288,"baja","empuja"
"4","L2","Baseline",27,"tre_cadgro",0,0,5,-2.41163786265693,-19.4915254237288,"entra en","tira de"
"4","L2","Baseline",28,"pgm_paqtoi",0,0,5,-2.41163786265693,-19.4915254237288,"sube","empuja"
"4","L2","Baseline",29,"trt_pourou",0,0,5,-2.41163786265693,-19.4915254237288,"cruza","tira de"
"4","L2","Baseline",30,"tge_chagro",0,0,5,-2.41163786265693,-19.4915254237288,"entra en","arrastra"
"4","L2","Baseline",31,"trd_brocol",1,0,5,-2.41163786265693,-19.4915254237288,"baja","tira de"
"4","L2","Baseline",32,"pge_tabgro",0,0,5,-2.41163786265693,-19.4915254237288,"entra en","empuja"
"5","L2","Manner",1,"trm_voidun",0,0,30,0.681549830750872,5.50847457627119,"sube","tira de"
"5","L2","Manner",2,"pgd_valnei",0,1,30,0.681549830750872,5.50847457627119,"baja","empuja"
"5","L2","Manner",3,"trt_pourue",0,0,30,0.681549830750872,5.50847457627119,"cruza","tira de"
"5","L2","Manner",4,"tgd_malnei",0,0,30,0.681549830750872,5.50847457627119,"baja","arrastra"
"5","L2","Manner",5,"tre_cadmai",0,0,30,0.681549830750872,5.50847457627119,"entra en","tira de"
"5","L2","Manner",6,"tgt_cherue",0,0,30,0.681549830750872,5.50847457627119,"cruza","arrastra"
"5","L2","Manner",7,"trm_voitoi",1,0,30,0.681549830750872,5.50847457627119,"sube","tira de"
"5","L2","Manner",8,"tgt_cherou",0,0,30,0.681549830750872,5.50847457627119,"cruza","arrastra"
"5","L2","Manner",9,"prd_balcol",0,1,30,0.681549830750872,5.50847457627119,"baja","rueda"
"5","L2","Manner",10,"tre_cadgro",1,0,30,0.681549830750872,5.50847457627119,"entra en","tira de"
"5","L2","Manner",11,"prm_boutoi",1,0,30,0.681549830750872,5.50847457627119,"sube","rueda"
