"Subject","Condition","Trial","Word1","Word2","Word3","CorrectChoice","Response","Accuracy"
6,"PathPrimeSentence",10,"una plaza","un carrito de bebé","un aro","2","2","1"
6,"PathPrimeSentence",11,"un granero","un repecho","un muñeco","1","1","1"
6,"PathPrimeSentence",12,"una rueda","una vía","un carro","1","1","1"
6,"PathPrimeSentence",13,"un collado","un patinete","una bala de paja","3","3","1"
6,"PathPrimeSentence",14,"una papelera","un tejado","unas gradas","2","2","1"
6,"PathPrimeSentence",15,"una esfera","una sala","un baúl","3","3","1"
6,"PathPrimeSentence",16,"un cuarto","un tablón","una carretilla","3","3","1"
6,"PathPrimeSentence",17,"una lámpara","un almacén","una rueda de carreta","3","3","1"
6,"PathPrimeSentence",18,"una maleta","una pendiente","un plato","1","1","1"
6,"PathPrimeSentence",19,"un cerro","una carretera","una piedra","2","2","1"
6,"PathPrimeSentence",20,"una loma","un trineo","una calle","3","3","1"
6,"PathPrimeSentence",21,"un barril","unos peldaños","un flotador","3","3","1"
6,"PathPrimeSentence",22,"un camino","un jardín","un barril","1","1","1"
6,"PathPrimeSentence",23,"una habitación","un paquete","un sillón","2","2","1"
6,"PathPrimeSentence",24,"una mesa","una escalera","un triciclo","1","1","1"
6,"PathPrimeSentence",25,"una escalinata","una manta","una cueva","3","3","1"
6,"PathPrimeSentence",26,"un cesto","una cómoda","una parcela","1","1","1"
7,"NoPrime",1,"una colina","un tronco","unos escalones","1","3","0"
7,"NoPrime",2,"una rueda","una vía","un carro","1","1","1"
7,"NoPrime",3,"un collado","un patinete","una bala de paja","3","3","1"
7,"NoPrime",4,"un puente","una duna","una estantería","2","2","1"
7,"NoPrime",5,"un armario","un coche de juguete","un pasillo","2","2","1"
7,"NoPrime",6,"una mesa","una escalera","un triciclo","1","1","1"
7,"NoPrime",7,"un barril","unos peldaños","un flotador","3","3","1"
7,"NoPrime",8,"un saco","un vestíbulo","un colchón","1","1","1"
7,"NoPrime",9,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
7,"NoPrime",10,"un hula hoop","un local","un carrito de la compra","3","3","1"
7,"NoPrime",11,"una esfera","una sala","un baúl","3","3","1"
7,"NoPrime",12,"un granero","un repecho","un muñeco","1","1","1"
7,"NoPrime",13,"una plaza","un carrito de bebé","un aro","2","2","1"
7,"NoPrime",14,"un cesto","una cómoda","una parcela","1","3","0"
7,"NoPrime",15,"un camino","un jardín","un barril","1","1","1"
7,"NoPrime",16,"una lámpara","un almacén","una rueda de carreta","3","3","1"
7,"NoPrime",17,"una loma","un trineo","una calle","3","3","1"
7,"NoPrime",18,"una habitación","un paquete","un sillón","2","2","1"
7,"NoPrime",19,"una maleta","una pendiente","un plato","1","1","1"
7,"NoPrime",20,"una papelera","un tejado","unas gradas","2","2","1"
7,"NoPrime",21,"una silla","una botella","un aula","1","1","1"
7,"NoPrime",22,"un jardín","un cilindro","una colina nevada","3","3","1"
7,"NoPrime",23,"una escalinata","una manta","una cueva","3","3","1"
7,"NoPrime",24,"un cuarto","un tablón","una carretilla","3","3","1"
7,"NoPrime",25,"un cerro","una carretera","una piedra","2","2","1"
7,"NoPrime",26,"una escuela","un palo","un caballo de juguete","3","3","1"
8,"MannerPrimeSentence",1,"una rueda","una vía","un carro","1","1","1"
8,"MannerPrimeSentence",2,"una habitación","un paquete","un sillón","2","2","1"
8,"MannerPrimeSentence",3,"un barril","unos peldaños","un flotador","3","3","1"
8,"MannerPrimeSentence",4,"una silla","una botella","un aula","1","1","1"
8,"MannerPrimeSentence",5,"un puente","una duna","una estantería","2","2","1"
8,"MannerPrimeSentence",6,"un camino","un jardín","un barril","1","1","1"
8,"MannerPrimeSentence",7,"un hula hoop","un local","un carrito de la compra","3","3","1"
8,"MannerPrimeSentence",8,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
8,"MannerPrimeSentence",9,"un collado","un patinete","una bala de paja","3","3","1"
8,"MannerPrimeSentence",10,"un cerro","una carretera","una piedra","2","2","1"
8,"MannerPrimeSentence",11,"un cesto","una cómoda","una parcela","1","1","1"
8,"MannerPrimeSentence",12,"un saco","un vestíbulo","un colchón","1","1","1"
8,"MannerPrimeSentence",13,"una escalinata","una manta","una cueva","3","3","1"
8,"MannerPrimeSentence",14,"un cuarto","un tablón","una carretilla","3","3","1"
8,"MannerPrimeSentence",15,"una esfera","una sala","un baúl","3","1","0"
8,"MannerPrimeSentence",16,"un jardín","un cilindro","una colina nevada","3","3","1"
8,"MannerPrimeSentence",17,"una escuela","un palo","un caballo de juguete","3","3","1"
8,"MannerPrimeSentence",18,"una lámpara","un almacén","una rueda de carreta","3","3","1"
8,"MannerPrimeSentence",19,"un granero","un repecho","un muñeco","1","1","1"
8,"MannerPrimeSentence",20,"una mesa","una escalera","un triciclo","1","1","1"
8,"MannerPrimeSentence",21,"una papelera","un tejado","unas gradas","2","3","0"
8,"MannerPrimeSentence",22,"una colina","un tronco","unos escalones","1","1","1"
8,"MannerPrimeSentence",23,"una loma","un trineo","una calle","3","3","1"
8,"MannerPrimeSentence",24,"una plaza","un carrito de bebé","un aro","2","2","1"
8,"MannerPrimeSentence",25,"un armario","un coche de juguete","un pasillo","2","2","1"
8,"MannerPrimeSentence",26,"una maleta","una pendiente","un plato","1","1","1"
9,"PathPrimeSentence",1,"un collado","un patinete","una bala de paja","3","3","1"
9,"PathPrimeSentence",2,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
9,"PathPrimeSentence",3,"una mesa","una escalera","un triciclo","1","1","1"
9,"PathPrimeSentence",4,"un camino","un jardín","un barril","1","1","1"
9,"PathPrimeSentence",5,"una maleta","una pendiente","un plato","1","1","1"
9,"PathPrimeSentence",6,"un saco","un vestíbulo","un colchón","1","1","1"
9,"PathPrimeSentence",7,"un barril","unos peldaños","un flotador","3","3","1"
